27WDr8Ky1j0LtgY82Ttk5S;45228.0;c-pop|cantopop|chinese audiophile|chinese indie;Ivana Wong;43
4MAgvMyXwPHdq6b7cAfbUo;107.0;;Andina;38
1wIVsVVx8HGlv54RgITvYV;45425.0;russian dance pop|russian pop;Infiniti;41
1p03fvHwYbtytsHk7JpT5M;792.0;;The Breezers;35
1ztsMJLgY2ISoHlSApijCG;21410.0;;Lila Deneken;31
6admaR1LDBepigeFSaXqxk;1.0;;Chris Regez;24
7Ge0vJ23MmuLJePOvjzT9h;33.0;;Wipe Outs;14
2PFYSInm0FBZJ2NQudUNHQ;4023.0;eurovision|norwegian pop;Agnete;50
0xO03lhzh7jhcUIAtgud0H;58.0;;Giorgio Carnini;7
2g2c4BKYVzU5nKD326EbXR;24354.0;ecuadorian alternative rock|ecuadorian indie;Guardarraya;41
4VrrMpyQtYN9wAJJGYQHZB;7220.0;marathi traditional;Prabhakar Karekar;10
6yaUJRIrRUnvD9tG43gqE5;487.0;;Michelle Ayalde;24
63xFjf6Ww22O5gHrBP79G9;50148.0;argentine telepop|pop argentino;Marcela Morelo;55
1nZDHVfKkl4w5C0D6gAIao;40.0;;Mary Sue Berry;9
28qGBcSoAsrhHKQiy4QFpn;1661.0;cocuk sarkilari;Sihirli Grup;36
1DXcRRLELsa2p3ZFV6S0M4;145.0;dutch trance;Harry Lemon;7
4cGHhEOmWACSpJjEsSJLx2;1305.0;;Phrenik;10
2iojnBLj0qIMiKPvVhLnsH;5758012.0;dance pop|pop|post-teen pop|r&b|trap|urban contemporary;Trey Songz;77
0RpddSzUHfncUWNJXKOsjy;1017511.0;indie poptimism|modern alternative rock|modern rock|neo mellow|pop|pop rock|post-teen pop|rock;Neon Trees;73
4tjqNkDKrA11YW8YJe0kg2;3.0;;Odeon Dans Orkestrası;0
0cTSCsVx04SSht9V6cpKN0;73107.0;funk|roots rock|soul|southern soul|spirituals;Mavis Staples;57
1pwJmSpD0xrfyxaaGaTIQ5;161.0;;Karel Krautgartner;12
4H1HQDwhxs06dnaQVUlbj7;3.0;;Cy Nicklin;14
2jE5NeCBZpgohvRLtQ6v0O;46620.0;perreo|reggaeton|reggaeton flow|trap latino;Ronald El Killa;52
6TYRXG3gXG070WylIj4lVh;26.0;calypso;Harmony Kings Orchestra;0
3KuLo66B73btyQpdXlkqFx;524725.0;melodic rap|rap|south carolina hip hop|southern hip hop|trap;Speaker Knockerz;59
7kM2bHp9WgqwOE4VUKAlRv;18202.0;thai hip hop;AUTTA;50
3hhiDjtcwjl3mndn2zlwE1;22.0;;Eric Frantzen;33
6xJuCASaNxCSPoswqEqGur;123.0;calypso;The Executor;10
6zPbaYJp7itQ8p0gPLqf2S;17981.0;k-indie|korean pop;Ra.D;41
2IFRkIOvKh0ErUi12M6haG;0.0;;The Blue Five;0
3Nbau9SoiH72jmJdUTqjOY;11678.0;;Lzzy Hale;56
6wm2PnV3pc8cVX6jOQlJ4W;6.0;;Matt Hill & Friends;0
59FrDXDVJz0EKqYg39dnT2;837939.0;funk carioca|nova mpb|pop lgbtq+ brasileira|pop nacional;Jão;68
7qFrTkAK0NO86h9WtU20lz;691.0;muzica populara|romanian folk;Ioan Bocsa;11
3sFhA6G1N0gG1pszb6kk1m;650259.0;album rock|art rock|beatlesque|classic rock|folk rock|mellow gold|rock|soft rock;Wings;68
5BzzAgWSH6Q4yPQOAKeWRd;12078.0;;Suneeta Rao;20
0gzgSjueDduero0wWEy1WQ;111.0;chinese worship;沙田浸信會;7
5T3oFf8Gan8D2MuD5va0I8;336.0;tamil pop;Aaryan Dinesh Kanagaratnam;45
36E7oYfz3LLRto6l2WmDcD;630508.0;alternative rock|art rock|britpop|indie rock|modern rock|new wave|permanent wave|pop rock|rock|sheffield indie;Pulp;64
7AKHnZVqwXYuUwWJ8UGL5q;489995.0;k-pop|k-pop girl group;Girls' Generation-TTS;44
1G2QbSM5dLTtqeZHYnxXsF;18126.0;carnaval|dutch cabaret|dutch rock|levenslied|nederpop;André van Duin;46
1t90n9KwaGNmb4WAkbQMia;1.0;;J.D. Jewkes;9
5ohxmJ6nh8Dx2WFzudufCl;414.0;children's story;Robert Guillaume;37
1B04nWndglr8wJExQd16Q3;357.0;;L.Ramli;15
36T4XH4Zh3YmdOC5ZwmUU7;39.0;;Pierre Brasseur;1
7rFMYhsVx0XJQ9sqVgEZAd;1039.0;;Aimee Blackschleger;26
09rYyheZjqeOn8sXUfk8Yh;12.0;;Orlando Jiménez;28
42ks9IzfYmWuQ2JFQYxQPf;321.0;uk garage;Richie Dan;11
27eEve8Mu7Zv8DGDIz4peE;16168.0;danish pop;Hugo Helmig;50
4VxxrJptDJKGOsKvb8jcVe;121506.0;mundart|schweizer rap|swiss hip hop|swiss indie|swiss reggae;Lo & Leduc;54
6QAxY6RqEnOEb4yuyTlYcp;61.0;;Christopher Hirons;26
27k6vxwRjNMkLTTBodAxJS;15.0;;Jazz Band Soft Rec 2019;11
5ooIuCvSBl6Eo4cHixvB7x;2973.0;indie electropop;Emilie Brandt;46
1AKcGfo00QNcGwh2lZeM0I;18895.0;classic malaysian pop|malaysian pop|rock kapak;Shima;31
49FH1qmcnjovBE0BsjrciN;42.0;classic konkani pop;Anthony Mendes;4
5g5a3ENOYfn6myyLen218w;250019.0;azeri pop|azeri rap|kavkaz|russian gangster rap|russian hip hop;Kaspiyskiy Gruz;54
5F0l2aNAlrwOR2QwiUktJ3;3152.0;brit funk|post-disco;Light Of The World;32
4VjQ8aKEzGgpBJ7IOkoAIG;369.0;;Anna Östlund;34
1tcgfoMTT1szjUeaikxRjA;478800.0;anime score|compositional ambient|japanese classical|japanese contemporary classical|japanese soundtrack;Ryuichi Sakamoto;61
4rlnBXzr2NtsDyNmmBBc34;932.0;kindermusik;Dino und seine Freunde;22
1ltDgA6tV4utKM6y1BOYIE;26837.0;pop dance|progressive house|progressive trance|trance|uplifting trance;Estiva;46
2dK29Nsq8gvhmSUvjvmtBK;2341.0;melodic hard rock|swedish hard rock;Beggars & Thieves;13
6zwpfQJYlF9pdthFLvN9zg;206.0;;John Nzenze;7
4Wpnsm27UgzPTAuoRgSJiE;8374.0;chinese hip hop;黃旭;39
58vfomU8GibPspULT9e2wy;632.0;classic czech pop;Pavlína Filipovská;20
